,Signal_Date,Exit_Date,Prev_Close,Close_Range,Entry_Open,Exit_Close,Big_Gap,Profit_and_loss_pct,Open_SPY_at_signal,Close_SPY_at_exit,Profit_and_loss_baseline_pct
0,2024-08-07,2024-08-13,127.58,"(127.58, 116.9)",123.43,130.96,-1,6.1,520.53,533.89,2.57
1,2024-12-20,2024-12-27,101.8,"(101.8, 83.65)",87.46,85.98,-1,-1.69,576.72,589.84,2.27
2,2025-01-24,2025-01-30,79.81,"(79.81, 86.57)",84.38,83.99,1,-0.46,604.51,599.78,-0.78
3,2025-02-18,2025-02-24,76.64,"(76.64, 81.02)",81.62,89.15,1,9.23,605.57,592.02,-2.24
4,2025-03-10,2025-03-14,85.79,"(85.79, 77.7)",77.63,75.93,-1,-2.19,562.66,557.92,-0.84
5,2025-04-04,2025-04-10,67.1,"(67.1, 62.55)",61.44,61.21,-1,-0.37,520.68,521.59,0.17
6,2025-04-10,2025-04-16,65.09,"(65.09, 61.21)",63.73,62.88,-1,-1.33,529.13,522.66,-1.22
7,2025-04-17,2025-04-24,62.88,"(62.88, 58.08)",58.25,62.63,-1,7.52,524.63,543.57,3.61
8,2025-07-29,2025-08-04,69.0,"(69.0, 53.94)",51.26,48.81,-1,-4.78,636.59,629.42,-1.13
9,2025-08-07,2025-08-13,45.38,"(45.38, 48.76)",50.7,50.9,1,0.39,634.48,643.11,1.36
